ISSUER_NAME;ISSUERID;ISSUER_ISIN;ISSUER_LEI;ISSUER_TICKER;CARBON_EMISSIONS_SCOPE_12_FY09;CARBON_EMISSIONS_SCOPE_12_FY10;CARBON_EMISSIONS_SCOPE_12_FY11;CARBON_EMISSIONS_SCOPE_12_FY12;CARBON_EMISSIONS_SCOPE_12_FY13;CARBON_EMISSIONS_SCOPE_12_FY14;CARBON_EMISSIONS_SCOPE_12_FY15;CARBON_EMISSIONS_SCOPE_12_FY16;CARBON_EMISSIONS_SCOPE_12_FY17;CARBON_EMISSIONS_SCOPE_12_FY18;CARBON_EMISSIONS_SCOPE_12_FY19;CARBON_EMISSIONS_SCOPE_12_FY20;CARBON_EMISSIONS_SCOPE_12_FY21;CARBON_EMISSIONS_SCOPE_12_FY22;CARBON_EMISSIONS_SCOPE_12_FY23;CARBON_EMISSIONS_SCOPE_3_FY09;CARBON_EMISSIONS_SCOPE_3_FY10;CARBON_EMISSIONS_SCOPE_3_FY11;CARBON_EMISSIONS_SCOPE_3_FY12;CARBON_EMISSIONS_SCOPE_3_FY13;CARBON_EMISSIONS_SCOPE_3_FY14;CARBON_EMISSIONS_SCOPE_3_FY15;CARBON_EMISSIONS_SCOPE_3_FY16;CARBON_EMISSIONS_SCOPE_3_FY17;CARBON_EMISSIONS_SCOPE_3_FY18;CARBON_EMISSIONS_SCOPE_3_FY19;CARBON_EMISSIONS_SCOPE_3_FY20;CARBON_EMISSIONS_SCOPE_3_FY21;CARBON_EMISSIONS_SCOPE_3_FY22;CARBON_EMISSIONS_SCOPE_3_FY23;COUNTRY_OF_INCORPORATION;CT_TOTAL_MAX_REV;EST_EU_TAXONOMY_MAX_CONTRIB_ADAPTATION;EST_EU_TAXONOMY_MAX_CONTRIB_MITIGATION;EST_EU_TAXONOMY_MAX_REV;EU_TAXONOMY_ADAPTATION_ELIGIBLE_MAX_REV;EU_TAXONOMY_MITIGATION_ELIGIBLE_MAX_REV;GICS_SECTOR;GICS_SUB_IND;MarketCap_USD;SALES_USD_FY09;SALES_USD_FY10;SALES_USD_FY11;SALES_USD_FY12;SALES_USD_FY13;SALES_USD_FY14;SALES_USD_FY15;SALES_USD_FY16;SALES_USD_FY17;SALES_USD_FY18;SALES_USD_FY19;SALES_USD_FY20;SALES_USD_FY21;SALES_USD_FY22;SALES_USD_FY23
CSX Corporation;IID000000002123685;US1264081035;549300JVQR4N1MMP3Q88;CSX;5028640;5470674;5695440;5569075;5564960;5840132;5580687;5004017;4927403;4853416;4504923;4000740;4129422;4259465;4419079;20608;20608;145362;177381;259368;3122171;3365914;4294344;3551716;153924;2450218;2559855;2421635;2610469;1180871;US;0;0;0;0;100;100;Industrials;Rail Transportation;68709574421;9041;10636;11743;11756;12026;12669;11811;11069;11408;12250;11937;10583;12522;14853;14657
Coterra Energy Inc.;IID000000002123686;US1270971039;FCNMH6O7VWU7LHXMK351;CTRA;365053;350423;1059051;1232734;576547;432921;528277;474483;453069;638284.34;585178;256570.16;1611729;1715558;;;;;;;;;;;;;;;;;US;0;0;0;0;0;0;Energy;Oil & Gas Exploration & Production;18732069099;879.28;844.04;894.49;1204.55;1746.28;1953.69;1300.46;1194.63;1747.29;2143.72;2066.28;1405.22;3670;9514;5684
Magna International Inc.;IID000000002123690;CA5592224011;95RWVLFZX6VGDZNNTN43;MG;645050;1317000;1222940;1509298;1637018;1763433;1660273;2051031;2135886;2120298;2131427.1;1705898;1563171;1640340;2026079.31;;;;;;;;;;;2628557287;14149187;71392081;83845228;58655441;CA;8.5;0;7.97;7.97;100;100;Consumer Discretionary;Automotive Parts & Equipment;12714256814;18684.21;25033.47;27787.98;31046.38;33939.24;35046.63;32134;35909.37;40254.61;38844.54;40234.98;32647;35952.21;36406.77;43753.49
THE J. M. SMUCKER COMPANY;IID000000002123695;US8326964058;5493000WDH6A0LHDJD55;SJM;402447;407538;373927;357065;367913;311861;330902;320640;436027;459780;439459;405806;375302;384128;;8333;10070;9563;25359;440538;452246;443495;;;;6361629;6044520;7769045;7223163;;US;0;0;0;0;0;0;Consumer Staples;Packaged Foods & Meats;11784489087;4605.29;4825.74;5525.78;5897.65;5610.6;5692.7;7811.22;7392.3;7357.1;7838;7801;8002.7;7998.9;8529.2;8178.7
THE SOUTHERN COMPANY;IID000000002123700;US8425871071;549300FC3G3YU2FBZD92;SO;123586162;134244544;123269872;101336846;104414567;114609575;104471374;102811507;101465915;105064581;88420701;75316587;82639510;85000000;79500000;;;;;;;;;34630131;37299499;38773448;36614701;34845819;77017800;;US;6.41;0;6.41;6.41;33.34;33.34;Utilities;Electric Utilities;95083473140;15738;17458;17655;16537;17087;18467;17489;19896;23031;23495;21419;20375;23113;29279;25253
S&P GLOBAL INC.;IID000000002123703;US78409V1044;Y6X4K52KMJMZE7I7MY94;SPGI;147549;210603;128826;113324;64221;51459;50399;36136;44266;32720;33110;18687;13222;26503;;199708;216441;129414;45677;10929;10915;17610;206050.72;234830;236390;328754;219879;215641;358457;;US;0;0;0;0;62.64;62.64;Financials;Financial Exchanges & Data;1.58452E+11;5951.78;6168.33;6246;4450;4875;5051;5313;5661;6063;6258;6699;7442;8297;11181;12497
MARTIN MARIETTA MATERIALS, INC.;IID000000002123704;US5732841060;5299005MZ4WZECVATV08;MLM;7553029;7909254;7603157;937712;991969;844668;1157705;921558;949993;979214;5032852;5176000;5100000;5234916;4905000;;;;;;;;;;;;;;;;US;2.75;0;1.16;0;99.99;99.99;Materials;Construction Materials;35934972794;1702.6;1782.9;1713.9;2037.6;2155.5;2958.9;3539.6;3818.8;3965.59;4244.27;4739.1;4729.9;5414;6160.7;6777.2
DARDEN RESTAURANTS, INC.;IID000000002123707;US2371941053;CY1NFSCCB5GUXC7WZC70;DRI;1100436;1078250;1093975;1099123;1147610;771812;792893;719992;766302;783997;774198;683294;769811;;;5610;6092;6752;10225;7029;;;;;;;;3512851;;;US;0;0;0;0;0;0;Consumer Discretionary;Restaurants;19821155296;7113.1;7500.2;7998.7;8551.9;6285.6;6764;6933.5;7170.2;8080.1;8510.4;7806.9;7196.1;9630;10487.8;11390
BCE Inc.;IID000000002123710;CA05534B7604;5493001I9203PRB5KR45;BCE;213902;233710;243930;264260;391700;402460;355228;302920;356226;336421;345290;303544;265010;256325;256366;10749;4348;4769;7888;2459532;3293195;3115192;2211739;2320349;2177612;1584390;1947578;1958415;1925951;1916629.01;CA;0;0;0;0;11.25;100;Communication Services;Integrated Telecommunication Services;25826182357;16858.36;18123.39;19114.66;20136;19209.05;18167.06395;15544.73;16195.53;18132.41;17182.6;18480.05;17961.54;18563.91;17841.25;18711.51
STRYKER CORPORATION;IID000000002123714;US8636671013;5493002F0SC4JTBU5137;SYK;69923;76131;86397;75682;86824;85286;97851;92971;103583;92459;192423;192967;186748;197235;210433.36;;;;;;;;5245;56880;61319;3312242;55669.39;409394;68875;;US;0.36;0;0.36;0.36;57.74;57.74;Health Care;Health Care Equipment;1.46112E+11;6723.1;7320;8307;8657;9021;9675;9946;11325;12444;13601;14884;14351;17108;18449;20498
