,CLIENT_IDENTIFIER,ISSUER_NAME,ISSUERID,ISSUER_ISIN,ISSUER_LEI,ISSUER_TICKER,CARBON_EMISSIONS_TARGET_BASE_YEAR,CARBON_EMISSIONS_TARGET_DESC,CARBON_EMISSIONS_TARGET_REDUCT_PCT,CARBON_EMISSIONS_TARGET_YEAR,HAS_COMMITTED_TO_SBTI_TARGET,HAS_SBTI_APPROVED_TARGET,SBTI_LONG_TERM_TARGET_STATUS,SBTI_LONG_TERM_TARGET_YEAR,SBTI_NEAR_TERM_TARGET_STATUS,SBTI_NEAR_TERM_TARGET_YEAR,SBTI_NET_ZERO_TARGET_STATUS,SBTI_NET_ZERO_TARGET_YEAR,SBTI_UPDATE_DATE,TARGET_SUMMARY_ANNUAL_REDUCTION,TARGET_SUMMARY_APPLIED_TARGETS_IDS,TARGET_SUMMARY_CALCULATION_DATE,TARGET_SUMMARY_CUM_CHANGE_2030,TARGET_SUMMARY_CUM_CHANGE_2050,TARGET_SUMMARY_CUM_CHANGE_2070,TARGET_SUMMARY_CURRENT_PROGRESS,TARGET_SUMMARY_EFFECTIVE_COVERAGE,TARGET_SUMMARY_END_YEAR,TARGET_SUMMARY_IMPUTATION_TRANSPARENCY,TARGET_SUMMARY_NNZERO_2030,TARGET_SUMMARY_NNZERO_2050,TARGET_SUMMARY_NNZERO_2070,TARGET_SUMMARY_SCOPES,TARGET_SUMMARY_SCOPE_3_CATEGORIES,TARGET_SUMMARY_SELF_DECLARED_NZERO,TARGET_SUMMARY_TARGETS_IDS,TARGET_SUMMARY_TRACK_RECORD,TARGET_SUMMARY_TYPES,TARGET_SUMMARY_UNITS,TARGET_SUMMARY_USE_OF_OFFSETS,TARGET_UPDATE_DATE
0,US1264081035,CSX Corporation,IID000000002123685,US1264081035,549300JVQR4N1MMP3Q88,CSX,2014.0,to reduce GHG intensity by 37.3% against 2014 baseline year,37.3,2030.0,,True,,,Well-below 2 degrees C,2029.0,,,2020-01-01,-0.010626384372732,IID000000002123685-2,2025-02-18,-0.069048120393612,0.049632900109156,0.194446299257493,Not on track with any targets,0.502248460978142,2029.0,,,,,"1,2",,,"IID000000002123685-1, IID000000002123685-2, IID000000002123685-3, IID000000002123685-4, IID000000002123685-5",Met some targets,INTENSITY,Other,No,2024-11-08
1,US1270971039,Coterra Energy Inc.,IID000000002123686,US1270971039,FCNMH6O7VWU7LHXMK351,CTRA,2019.0,81% reduction in methane intensity (Methane Emissions (MT CH4)/Gross Methane Produced (MT CH4) by 2023 compared to a 2019 baseline.,81.0,2023.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,"IID000000002123686-4, IID000000002123686-5, IID000000002123686-6, IID000000002123686-7, IID000000002123686-8",,,,,2024-02-25
2,CA5592224011,Magna International Inc.,IID000000002123690,CA5592224011,95RWVLFZX6VGDZNNTN43,MG,2021.0,Commits to reach net zero greenhouse gas emissions across the value chain by 2050,100.0,2050.0,,True,1.5 degrees C,2050.0,1.5 degrees C,2030.0,Approved,2050.0,2024-04-11,-0.035714285714286,"IID000000002123690-11, IID000000002123690-13, IID000000002123690-6",2025-02-18,-0.298376314516981,-1.0,-1.0,Not on track with any targets,1.0,2050.0,"For target IID000000002123690-13, we calculated the target value to be 906639.0 tCO2e for year 2030, based on the target baseline value and reported reduction for Scopes 1, 2. For target IID000000002123690-13, we imputed the baseline value for the year 2021. The imputed baseline value for Scope 1 is 436267.0 tCO2e (reported). The imputed baseline value for Scope 2 is 1126904.0 tCO2e (reported). For target IID000000002123690-11, we imputed the baseline year and baseline value. Since there were no additional information in the target disclosure, we assumed the announcement year -1 as the baseline year and used reported or estimated emissions data for the corresponding year as baseline value. The imputed baseline year is 2021. The imputed baseline value for Scope 1 is 436267.0 tCO2e (reported). The imputed baseline value for Scope 2 is 1126904.0 tCO2e (reported). The imputed baseline value for Scope 3 is 89778123.0 tCO2e (estimated by MSCI ESG Research). For target IID000000002123690-1, we imputed the baseline year and baseline value. Since there were no additional information in the target disclosure, we assumed the announcement year -1 as the baseline year and used reported or estimated emissions data for the corresponding year as baseline value. The imputed baseline year is 2020. The imputed baseline value for Scope 1 is 417286.0 tCO2e (reported). The imputed baseline value for Scope 2 is 1288612.0 tCO2e (reported). For target IID000000002123690-16, we calculated the target value to be 9134129.0 tCO2e for year 2050, based on the target baseline value and reported reduction for Scopes 1, 2, 3. For target IID000000002123690-16, we imputed the baseline value for the year 2021. The imputed baseline value for Scope 1 is 436267.0 tCO2e (reported). The imputed baseline value for Scope 2 is 1126904.0 tCO2e (reported). The imputed baseline value for Scope 3 is 89778123.0 tCO2e (estimated by MSCI ESG Research).",,True,True,"1,2,3","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",True,"IID000000002123690-1, IID000000002123690-10, IID000000002123690-11, IID000000002123690-12, IID000000002123690-13, IID000000002123690-14, IID000000002123690-15, IID000000002123690-16, IID000000002123690-2, IID000000002123690-3, IID000000002123690-4, IID000000002123690-5, IID000000002123690-6, IID000000002123690-7, IID000000002123690-8, IID000000002123690-9",Met some targets,ABSOLUTE,tCO2e,No,2024-05-21
3,US8326964058,THE J. M. SMUCKER COMPANY,IID000000002123695,US8326964058,5493000WDH6A0LHDJD55,SJM,2019.0,Reduce Scope 1 and 2 GHG emissions by 28% by 2030 from a 2019 base year.,28.0,2030.0,,True,,,Well-below 2 degrees C,2030.0,,,2021-09-16,-0.002010438972806,"IID000000002123695-4, IID000000002123695-5",2025-02-18,-0.016083511782446,-0.014691525525832,-0.012993037759767,On track with some targets,0.994161970476899,2030.0,,,,,"1,2,3","1,2,3,4,5,6,7,8,9,12",,"IID000000002123695-1, IID000000002123695-2, IID000000002123695-3, IID000000002123695-4, IID000000002123695-5, IID000000002123695-6",Met some targets,"ABSOLUTE, INTENSITY","tCO2e, tCO2e/unit of production",No,2023-04-05
4,US8425871071,THE SOUTHERN COMPANY,IID000000002123700,US8425871071,549300FC3G3YU2FBZD92,SO,2007.0,Reduce Scope 1 emissions by 100% by 2050 compare to 2007,100.0,2050.0,,False,,,,,,,,-0.025490897231051,"IID000000002123700-17, IID000000002123700-4",2025-02-18,-0.042688766967452,-0.713745122469424,-0.650714649550667,On track with all targets,0.783352127046957,2050.0,"For target IID000000002123700-17, we calculated the target value to be 78235610.0 tCO2e for year 2030, based on the target baseline value and reported reduction for Scope 1.",,,,1,,,"IID000000002123700-10, IID000000002123700-13, IID000000002123700-14, IID000000002123700-15, IID000000002123700-16, IID000000002123700-17, IID000000002123700-2, IID000000002123700-3, IID000000002123700-4, IID000000002123700-5, IID000000002123700-6",Met some targets,ABSOLUTE,tCO2e,No,2024-07-24
5,US78409V1044,S&P GLOBAL INC.,IID000000002123703,US78409V1044,Y6X4K52KMJMZE7I7MY94,SPGI,2019.0,suppliers will have SBTs,81.0,2025.0,,True,,,1.5 degrees C,2025.0,,,2023-10-26,0.009231668384181,"IID000000002123703-12, IID000000002123703-18, IID000000002123703-29, IID000000002123703-32",2025-02-18,0.062988720224758,0.288177218140455,0.571821011262863,On track with some targets,0.025061662864109,2040.0,"For target IID000000002123703-29, we imputed the baseline year and baseline value. Since there were no additional information in the target disclosure, we assumed the announcement year -1 as the baseline year and used reported or estimated emissions data for the corresponding year as baseline value. The imputed baseline year is 2022. The imputed baseline value for Scope 1 is 3717.0 tCO2e (reported). The imputed baseline value for Scope 2 is 22786.0 tCO2e (reported). For target IID000000002123703-32, we calculated the target value to be 24767.0 tCO2e for year 2025, based on the target baseline value and reported reduction for Scopes 1, 2. For target IID000000002123703-32, we imputed the baseline value for the year 2019. The imputed baseline value for Scope 1 is 3602.0 tCO2e (reported). The imputed baseline value for Scope 2 is 29508.0 tCO2e (reported). For target IID000000002123703-18, we imputed the baseline year and baseline value. Since there were no additional information in the target disclosure, we assumed the announcement year -1 as the baseline year and used reported or estimated emissions data for the corresponding year as baseline value. The imputed baseline year is 2019. The imputed baseline value for Scope 1 is 3602.0 tCO2e (reported). The imputed baseline value for Scope 2 is 29508.0 tCO2e (reported). The imputed baseline value for Scope 3 is 12232.0 tCO2e (estimated by MSCI ESG Research) for the Scope 3 Categories 6.",,,,"1,2,3",6,True,"IID000000002123703-1, IID000000002123703-10, IID000000002123703-11, IID000000002123703-12, IID000000002123703-13, IID000000002123703-14, IID000000002123703-15, IID000000002123703-16, IID000000002123703-17, IID000000002123703-18, IID000000002123703-19, IID000000002123703-2, IID000000002123703-20, IID000000002123703-21, IID000000002123703-22, IID000000002123703-23, IID000000002123703-24, IID000000002123703-25, IID000000002123703-26, IID000000002123703-27, IID000000002123703-29, IID000000002123703-30, IID000000002123703-31, IID000000002123703-32, IID000000002123703-5, IID000000002123703-6, IID000000002123703-7, IID000000002123703-8, IID000000002123703-9",Met some targets,ABSOLUTE,tCO2e,No,2025-01-06
6,US5732841060,"MARTIN MARIETTA MATERIALS, INC.",IID000000002123704,US5732841060,5299005MZ4WZECVATV08,MLM,2022.0,Reduce Scope 1 and 2 emissions by 100% by 2050 compared to 2022 as baseline year,100.0,2050.0,True,,,,Committed,,Committed,,2023-11-23,-0.01163526821246,"IID000000002123704-5, IID000000002123704-7, IID000000002123704-8",2025-02-18,0.027682463301416,-0.325787509948874,-0.177332634831098,On track with all targets,0.489732006846418,2050.0,"For target IID000000002123704-2, we calculated the target value to be 1.0 tCO2e for year 2030, based on the target baseline value and reported reduction for Scope 1.",,,,"1,2",,True,"IID000000002123704-1, IID000000002123704-2, IID000000002123704-3, IID000000002123704-4, IID000000002123704-5, IID000000002123704-7, IID000000002123704-8, IID000000002123704-9",Not applicable,"ABSOLUTE, INTENSITY","tCO2e, tCO2e/ton of cement",No,2023-12-13
7,US2371941053,"DARDEN RESTAURANTS, INC.",IID000000002123707,US2371941053,CY1NFSCCB5GUXC7WZC70,DRI,2008.0,Scope 1+2,15.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,IID000000002123707-1,,,,,
8,CA05534B7604,BCE INC.,IID000000002123710,CA05534B7604,5493001I9203PRB5KR45,BCE,2020.0,Commits to reduce absolute scope 1 and 2 GHG emissions 58% by FY2030 from a FY2020 base year,58.0,2030.0,False,True,,,1.5 degrees C,2030.0,,,2022-08-25,-0.001966128315149,"IID000000002123710-20, IID000000002123710-21, IID000000002123710-22",2025-02-18,-0.015729026521194,0.071701124625976,0.178382524246899,On track with some targets,0.633315486283649,2030.0,"For target IID000000002123710-22, we calculated the target value to be 226736.0 tCO2e for year 2030, based on the target baseline value and reported reduction for Scope 3. For target IID000000002123710-21, we calculated the target value to be 110439.0 tCO2e for year 2030, based on the target baseline value and reported reduction for Scopes 1, 2. For target IID000000002123710-20, we calculated the target value to be 1029428.0 tCO2e for year 2030, based on the target baseline value and reported reduction for Scope 3. For target IID000000002123710-20, we imputed the baseline value for the year 2020. The imputed baseline value for Scope 3 is 1774875.0 tCO2e (estimated by MSCI ESG Research). For target IID000000002123710-19, we calculated the target value to be 127488.0 tCO2e for year 2030, based on the target baseline value and reported reduction for Scopes 1, 2. For target IID000000002123710-19, we imputed the baseline value for the year 2020. The imputed baseline value for Scope 1 is 142996.0 tCO2e (reported). The imputed baseline value for Scope 2 is 160548.0 tCO2e (reported).",,,,"1,2,3","2,3,4,5,6,7,8,9,10,11,12,13,14,15",,"IID000000002123710-1, IID000000002123710-10, IID000000002123710-11, IID000000002123710-12, IID000000002123710-13, IID000000002123710-14, IID000000002123710-15, IID000000002123710-16, IID000000002123710-17, IID000000002123710-19, IID000000002123710-2, IID000000002123710-20, IID000000002123710-21, IID000000002123710-22, IID000000002123710-3, IID000000002123710-4, IID000000002123710-5, IID000000002123710-6, IID000000002123710-7, IID000000002123710-8, IID000000002123710-9",Met some targets,ABSOLUTE,tCO2e,No,2024-06-21
9,US8636671013,STRYKER CORPORATION,IID000000002123714,US8636671013,5493002F0SC4JTBU5137,SYK,2019.0,Carbon Neutral scope 1 & 2 by 2030,100.0,2030.0,True,,,,Committed,,,,2024-01-11,0.008792937382418,IID000000002123714-7,2025-02-18,0.079579016086237,0.31511223451846,0.602507521726348,Not on track with any targets,0.012167055281793,2024.0,"For target IID000000002123714-4, we calculated the target value to be 8.0 tCO2e for year 2018, based on the target baseline value and reported reduction for Scope 2.",,,,"1,2",,,"IID000000002123714-1, IID000000002123714-2, IID000000002123714-3, IID000000002123714-4, IID000000002123714-5, IID000000002123714-6, IID000000002123714-7, IID000000002123714-8, IID000000002123714-9",Met some targets,ABSOLUTE,tCO2e,No,2023-12-18
